Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
ResNet-56,BatchNorm,CIFAR-10,16,0.0008032016982210725,0.0220342348728879,1.3774340808611367,198.64028,86.2,0.7270582,True,93.94206145966707,False,True,32.0,0.917586847261266
ResNet-56,BatchNorm,CIFAR-10,256,6.02038876967355e-05,0.0155119076243061,0.248115848462831,13.814429,86.76666666666667,0.4056984,True,100.0,False,True,32.0,0.8676666666666667
ResNet-56,BatchNorm,CIFAR-10,256,7.177959889772607e-05,0.0190394878690611,0.3621373501565375,14.692444,89.24444444444444,0.4573484,True,100.0,True,True,32.0,0.8924444444444444
ResNet-56,BatchNorm,CIFAR-10,16,0.0012526265169277068,0.0501620792390267,10.492927622971012,339.36837,85.92222222222222,0.7507714,True,91.14516645326503,True,True,32.0,0.9426964211676447
ResNet-56,BatchNorm,CIFAR-10,16,0.0058858349526782735,0.0248610545676824,8.447177761849638,1446.4619,73.37777777777778,0.8596491,False,79.11331626120358,False,True,32.0,0.9275022366084476
ResNet-56,BatchNorm,CIFAR-10,256,0.0010645223155384225,0.0107983290189062,0.8150934770840891,326.86236,81.73333333333333,0.6084715,False,99.98389175257732,False,True,32.0,0.81746501262016
ResNet-56,BatchNorm,CIFAR-10,256,0.0023986562222023202,0.0128003454448541,4.6610566158625,979.9773,81.5111111111111,0.6781191,False,99.987918814433,True,True,32.0,0.8152095980954169
ResNet-56,BatchNorm,CIFAR-10,16,0.00432116701752403,0.0190464243723587,8.874107650997571,1368.6189,69.85555555555555,0.868667,False,70.13044174135723,True,True,32.0,0.9960803585579076
ResNet-56,BatchNorm,CIFAR-100,16,0.0017613875668251312,0.053573398068943,4.1078848640147685,235.64367,58.144444444444446,0.69927126,True,69.20214468629962,False,True,32.0,0.8402115961581703
ResNet-56,BatchNorm,CIFAR-100,256,0.0001526785979678792,0.0633725478942185,2.292678286608336,17.625784000000003,64.02222222222223,0.54046726,True,99.96375644329896,False,True,32.0,0.6404543456561343
ResNet-56,BatchNorm,CIFAR-100,256,0.00020155583391640348,0.0820659526333957,3.910147223792376,17.447475,63.1,0.6479572,True,99.97181056701032,True,True,32.0,0.6311779254783484
ResNet-56,BatchNorm,CIFAR-100,16,0.0019947899636667894,0.0380107678790517,3.2191063925262022,330.1046,58.644444444444446,0.7274487,True,66.8854033290653,True,True,32.0,0.8767898753024381
ResNet-56,BatchNorm,CIFAR-100,16,0.007110516125104475,0.0330454677569989,17.88376637488558,1752.6816,36.61111111111112,0.8011287,False,37.62003841229193,False,True,32.0,0.9731811198562956
ResNet-56,BatchNorm,CIFAR-100,256,0.0045694717799632965,0.0989260999324301,10.005978641744155,397.62707,49.5,0.6584811,False,99.9194587628866,False,True,32.0,0.4953990004836369
ResNet-56,BatchNorm,CIFAR-100,256,0.010463749125632789,0.0743082017373441,23.588604253101064,1135.9925,51.08888888888889,0.7984933,False,97.16092139175258,True,True,32.0,0.5258172540675959
ResNet-56,BatchNorm,CIFAR-100,16,0.0018435355259144412,0.0187677355106629,4.029823659238963,615.81133,21.877777777777776,0.81795603,False,20.430537772087067,True,True,32.0,1.0708370979675328
VGG,BatchNorm,CIFAR-10,16,0.0001019170724047518,0.021035520318022,0.2375585194559919,37.493932,81.61111111111111,0.57078344,True,97.70326504481434,False,True,32.0,0.8352956380083909
VGG,BatchNorm,CIFAR-10,256,6.659917472815181e-06,0.0125738793096069,0.3861885243986291,3.2142732,83.83333333333333,0.27241358,True,100.0,False,True,32.0,0.8383333333333333
VGG,BatchNorm,CIFAR-10,256,7.259885080249207e-06,0.009394664520191,0.2451263237850597,3.5732987,83.65555555555555,0.2673754,True,100.0,True,True,32.0,0.8365555555555555
VGG,BatchNorm,CIFAR-10,16,0.00010575871823467247,0.0221452241333399,0.3438310181959863,39.58731,81.22222222222223,0.5602651,True,97.62724071702944,True,True,32.0,0.8319626942816419
VGG,BatchNorm,CIFAR-10,16,0.001289136868336925,0.0217876379107067,0.908983220209012,496.8323,68.62222222222222,0.69322395,False,90.82906530089627,False,True,32.0,0.7555095056289771
VGG,BatchNorm,CIFAR-10,256,5.573875505379782e-05,0.0079714162928652,0.1615825569550069,40.39273,69.93333333333334,0.476931,False,100.0,False,True,32.0,0.6993333333333334
VGG,BatchNorm,CIFAR-10,256,5.929403095768672e-05,0.0104968613272442,0.192828809355998,29.803392,70.7,0.46876526,False,100.0,True,True,32.0,0.7070000000000001
VGG,BatchNorm,CIFAR-10,16,0.0013638878536062814,0.0256621309976111,2.290072389248447,501.17614,67.72222222222223,0.68880177,False,91.47727272727272,True,True,32.0,0.7403174603174605
VGG,BatchNorm,CIFAR-100,16,0.00039241456544886866,0.0764026436410426,1.7617118444326834,55.231165,51.93333333333333,0.5985322,True,90.19686299615876,False,True,32.0,0.5757776003312336
VGG,BatchNorm,CIFAR-100,256,1.5992055885963878e-05,0.0397272571726093,4.148750581534405,2.5190683,56.08888888888889,0.4739248,True,100.0,False,True,32.0,0.5608888888888889
VGG,BatchNorm,CIFAR-100,256,1.5695988412119375e-05,0.033668385907359,2.576420924337516,3.004979,54.96666666666667,0.472345,True,100.0,True,True,32.0,0.5496666666666666
VGG,BatchNorm,CIFAR-100,16,0.0003902247726052364,0.0695828902207656,1.3719067099024649,53.035894,53.3,0.5984962,True,90.40893085787452,True,True,32.0,0.589543527329055
VGG,BatchNorm,CIFAR-100,16,0.0011535397580147775,0.0283409722456311,1.8086659865959371,409.7572,34.32222222222222,0.68911475,False,45.026408450704224,False,True,32.0,0.7622687085912893
VGG,BatchNorm,CIFAR-100,256,0.00031901421061886393,0.0757664530852463,1.849822463111081,36.536653,38.11111111111112,0.5474655,False,100.0,False,True,32.0,0.38111111111111123
VGG,BatchNorm,CIFAR-100,256,0.00029166076908853733,0.0821374358576804,2.2144937703531373,32.84692,37.644444444444446,0.54298383,False,100.0,True,True,32.0,0.37644444444444447
VGG,BatchNorm,CIFAR-100,16,0.0011108199290735692,0.0185072744887562,0.4272118067319031,506.17266,33.74444444444445,0.6869354,False,44.7663252240717,True,True,32.0,0.7537908076113297
ViT,BatchNorm,CIFAR-10,16,9.653584112383434e-05,0.0038991632047316,0.2300707894857465,66.72237000000001,65.93333333333334,0.22925845,True,72.9553457106274,True,True,32.0,0.9037491727453885
ViT,BatchNorm,CIFAR-10,256,9.990136245662438e-05,0.02333777663508,0.3300354258224597,36.637373,64.42222222222222,0.115463056,True,97.33811211340206,True,True,32.0,0.6618396517406073
ViT,BatchNorm,CIFAR-10,16,0.0009451558273397296,0.0053904446162105,2.124440985484544,1122.1553,64.0,0.23440322,False,71.73095390524968,True,True,32.0,0.8922229039995537
ViT,BatchNorm,CIFAR-10,256,0.0007174190880426922,0.0141385669338451,0.3931292619465801,438.89422,63.56666666666667,-0.031759012,False,97.59181701030928,True,True,32.0,0.6513524249676763
ViT,BatchNorm,CIFAR-100,16,0.00022748554600079236,0.0482688341215026,0.93668707183747,45.54577,38.98888888888889,0.14471021,True,52.72487195902689,True,True,32.0,0.7394781142225931
ViT,BatchNorm,CIFAR-100,256,1.5991855887339524e-05,0.0468350337810555,6.759940678512932,2.3875754,41.51111111111111,0.17259158,True,99.96778350515464,True,True,32.0,0.4152448884591972
ViT,BatchNorm,CIFAR-100,16,0.0015354726736431085,0.0414872747936288,1.3723372904583673,318.47466,37.7,0.2136866,False,51.66853393085788,True,True,32.0,0.7296510493301324
ViT,BatchNorm,CIFAR-100,256,0.0001423451061133061,0.012883164831135,0.2117641918214979,65.84946000000001,37.03333333333333,0.06624925,False,99.96778350515464,True,True,32.0,0.37045268020195504
ResNet-56,EvoNormBO,CIFAR-10,16,0.000355590848940896,0.0375588860748115,0.5544235139406777,63.777807,86.06666666666666,0.13222773,True,90.7530409731114,False,True,32.0,0.9483612421556956
ResNet-56,EvoNormBO,CIFAR-10,256,0.002765081555103594,0.0107175418514639,3.774344337135161,799.04174,81.36666666666666,0.20312765,True,91.62773840206184,False,True,32.0,0.8880134780761513
ResNet-56,EvoNormBO,CIFAR-10,256,2.837763437823167e-05,0.019223422731441,0.577788442827215,4.352491,87.62222222222222,0.24914466,True,100.0,True,True,32.0,0.8762222222222222
ResNet-56,EvoNormBO,CIFAR-10,16,0.0003842630482383862,0.0473892672221809,0.8944722613856968,50.310873,84.55555555555556,0.5227017,True,93.45790653008964,True,True,32.0,0.9047448064582113
ResNet-56,EvoNormBO,CIFAR-10,16,0.007273347296898034,0.0154097618329874,15.606270076938358,2189.3920000000003,79.52222222222223,0.5677558,False,82.8705185659411,False,True,32.0,0.9595960493350287
ResNet-56,EvoNormBO,CIFAR-10,256,0.0020991890060698204,0.0311361857377684,1.7303441891672071,495.7751,83.27777777777777,0.018876765,False,99.34761597938144,False,True,32.0,0.838246363104085
ResNet-56,EvoNormBO,CIFAR-10,256,0.00029212793690546645,0.040856413761065,0.6705697730643735,39.56409,82.2,0.1212814,False,100.0,True,True,32.0,0.8220000000000001
ResNet-56,EvoNormBO,CIFAR-10,16,0.0036362740639233125,0.0420403614926807,1.3924279701795494,2806.1775,65.28888888888889,0.5539888,False,65.28889244558259,True,True,32.0,0.999999945523755
